"app1","appm","app2"
17,211183.544194107,417268
4980,205406.492130751,417573
795,188964.053921569,417593
796,167727.990590695,412953
23,189905.353264857,416942
658,159481.136801541,416806
4859,206887.52934955,417327
35,200670.94177092,417600
1134,180516.270742358,416792
30,199030.568850902,417427
118,201235.731861199,417386
39,196577.253195302,417603
159,218376.164940077,417295
222,207910.579111458,416231
303,256323.786503552,417295
31,198675.183936088,417593
43,201235.26059075,417226
76,188310.478460655,416682
636,188982.829609771,417254
175,220406.734229292,416624
928,176464.486803519,417258
38,197078.923838798,417346
27,187455.068050075,417641
71,205262.273420479,417170
640,191189.699669967,417640
203,199204.653110048,415201
38,194984.264364071,417635
221,212134.994649227,416585
72,217258.423529412,413894
117,204575.247804266,416972
531,165915.414473684,404739
75,200127.815376834,413420
384,208020.847571189,417271
733,204293.339440456,417564
26,199909.550973654,415267
18,199566.316570486,417221
80,217993.339247993,417460
588,224553.68148579,417618
48,207481.534840623,417295
274,181899.832029212,415951
7,203732.147672552,417578
37,206373.170365927,417507
3,213010.420372526,417400
22,201228.20880728,417639
283,197680.028634361,416465
31,208430.936543654,417459
767,173532.959266802,415474
5630,168313.975830816,410840
2516,201294.384230288,417457
3,206797.084379792,417551
5678,215238.272287491,417513
3,191766.587171328,417606
39,203739.871991719,417582
82,199432.350426716,417539
419,191313.320400501,415245
4,241170.865900383,415953
43,205884.263259669,417232
129,222322.460081693,417241
41,188540.632786885,412986
44,224870.462839028,417604
86,206132.708399366,417533
87,176966.304320601,416837
75,215032.609384522,415938
92,200766.812390925,417277
219,210222.416666667,417597
