"row","col"
43,3
50,3
52,3
56,4
50,5
41,7
1,17
1,18
36,18
44,22
5,23
35,26
23,27
10,30
16,31
46,31
8,35
16,35
42,37
16,38
22,38
23,38
27,38
1,39
8,39
12,39
50,39
53,39
5,40
8,40
12,41
53,41
59,41
50,42
17,43
23,43
57,43
10,44
16,44
50,44
60,44
50,47
39,48
50,48
57,48
42,51
53,55
1,58
1,59
35,59
53,59
1,66
8,67
36,69
24,71
29,72
42,73
1,74
8,75
16,75
32,75
63,75
18,76
23,76
16,77
53,77
8,78
12,78
16,78
12,79
23,80
37,80
41,81
53,81
54,82
43,84
43,85
59,85
61,86
62,87
44,88
50,89
54,89
42,92
64,92
41,93
50,94
54,94
57,96
53,97
50,99
53,101
54,103
50,105
53,108
53,111
53,112
35,113
43,113
16,114
8,115
16,115
24,115
8,117
12,117
16,117
30,117
32,117
11,118
46,118
50,118
8,119
17,121
53,121
57,121
59,121
8,122
27,122
50,122
8,123
16,123
23,123
50,123
27,124
50,124
16,125
64,126
8,127
50,127
8,128
50,128
57,128
58,129
63,129
12,131
50,131
50,132
63,132
42,135
61,145
39,148
53,149
41,151
36,154
42,156
54,156
32,158
53,158
13,159
17,159
35,159
16,160
24,160
41,160
29,161
16,162
54,163
63,164
16,165
23,166
16,167
16,168
32,168
53,168
54,168
16,169
23,169
8,171
12,171
16,171
39,172
8,173
23,173
50,173
8,174
54,174
59,174
16,175
20,175
23,175
50,175
64,175
8,176
16,176
63,176
50,177
8,178
12,178
16,178
50,178
64,178
11,179
16,179
8,180
50,180
54,182
50,183
50,184
50,185
53,187
64,187
50,188
50,189
39,190
53,192
54,195
53,196
42,199
32,202
26,203
53,206
12,208
16,208
41,210
16,211
12,212
23,212
35,212
8,213
12,213
16,213
37,213
53,213
32,214
53,214
64,214
12,215
53,215
63,215
8,216
16,216
16,217
50,217
8,219
12,219
23,219
46,219
65,219
16,220
18,220
42,220
50,220
65,220
16,221
23,221
28,221
50,221
8,222
14,222
16,222
50,222
12,223
50,223
54,223
8,224
16,224
23,224
50,224
50,225
50,226
12,227
16,228
8,229
50,229
53,229
17,231
61,231
50,232
50,235
37,236
53,243
39,245
41,253
53,253
16,258
23,258
32,258
12,259
16,259
8,260
16,261
23,261
16,263
23,263
41,263
50,263
53,264
57,264
12,265
42,265
50,265
23,266
50,266
53,266
8,267
50,267
57,268
50,269
53,269
63,269
32,270
35,270
50,270
50,272
50,273
40,274
43,274
61,275
52,276
52,278
45,283
53,284
53,288
54,294
53,295
8,297
57,301
8,302
16,302
22,302
27,302
15,303
50,303
50,305
57,305
59,306
8,307
12,307
50,307
12,308
23,309
50,311
50,312
59,312
16,314
57,314
41,327
41,334
16,341
53,341
8,342
53,342
16,345
41,346
8,348
12,348
16,348
23,349
27,349
46,349
10,350
23,350
50,351
59,351
16,353
42,356
12,357
16,357
29,357
8,359
57,359
16,360
50,360
64,360
54,361
56,361
23,363
50,363
12,364
16,364
59,364
8,365
27,365
57,365
50,366
12,368
41,369
54,369
41,370
42,370
50,370
53,370
57,371
54,373
58,374
53,377
53,380
33,384
53,387
5,388
54,395
16,397
23,400
53,400
63,400
12,401
16,401
8,402
54,402
8,404
16,404
23,406
50,407
59,407
8,408
16,408
53,408
23,409
27,410
8,413
16,415
57,415
23,416
50,416
53,416
62,416
8,417
12,417
16,417
23,417
50,417
63,417
5,418
16,418
41,418
8,419
55,419
50,420
57,420
64,420
16,421
50,421
57,422
50,423
50,426
59,426
50,429
50,431
12,432
53,433
1,434
36,434
53,437
54,440
41,441
39,442
24,444
1,445
32,446
16,448
29,448
16,449
23,449
12,450
16,450
53,450
23,451
54,451
63,451
12,452
27,452
16,453
23,453
53,453
54,453
16,454
50,454
12,455
23,456
8,457
12,457
62,457
8,458
23,458
50,458
5,460
16,460
8,461
17,461
22,461
27,461
12,462
16,462
54,463
8,464
12,464
16,465
50,465
10,466
62,466
65,466
50,467
8,468
12,468
12,470
16,470
50,470
23,471
50,472
1,478
53,480
53,483
1,485
26,487
54,488
53,492
29,496
12,498
16,499
23,499
63,501
16,502
8,503
16,503
50,503
1,504
5,504
30,504
8,505
57,506
53,507
50,508
8,509
16,509
41,515
27,519
23,525
53,525
8,526
43,530
31,531
43,532
53,533
43,534
53,535
31,537
41,537
53,537
12,538
8,541
23,543
1,551
8,553
54,554
23,555
42,556
46,557
53,557
8,558
12,561
16,565
54,565
53,568
52,569
12,570
16,570
55,570
8,571
23,572
8,574
23,574
53,574
16,575
42,575
54,575
12,576
50,576
10,577
23,578
8,579
16,579
50,580
59,580
16,581
46,581
50,583
12,584
23,584
8,585
50,585
59,585
42,586
12,588
38,588
1,591
54,592
31,593
53,595
12,597
54,598
8,600
1,601
23,602
8,604
31,605
16,607
8,608
12,608
55,608
1,609
8,609
16,609
23,610
8,612
50,612
8,613
16,613
12,614
23,614
8,615
30,615
23,616
55,616
16,617
8,618
41,618
23,619
53,619
38,620
50,620
52,620
8,622
12,622
52,622
1,628
42,630
42,632
1,633
12,633
19,636
41,638
25,640
12,643
54,643
1,644
25,645
31,645
25,648
23,650
27,651
1,652
23,652
41,652
12,653
1,655
