"","ntimeshort"
3,3
4,4
5,4
7,5
17,6
18,7
22,8
23,9
26,10
27,11
30,12
31,14
35,15
37,16
38,18
39,20
40,20
41,21
42,21
43,23
44,24
47,24
48,25
51,25
55,25
58,25
59,25
66,25
67,25
69,25
71,26
72,27
73,27
74,27
75,29
76,30
77,30
78,30
79,30
80,31
81,31
82,32
84,32
85,32
86,33
87,34
88,34
89,34
92,35
93,35
94,35
96,35
97,35
99,35
101,35
103,35
105,35
108,35
111,35
112,35
113,35
114,35
115,35
117,36
118,37
119,37
121,37
122,37
123,37
124,37
125,37
126,37
127,37
128,37
129,38
131,38
132,38
135,38
145,38
148,38
149,38
151,38
154,38
156,38
158,38
159,39
160,39
161,39
162,39
163,39
164,39
165,39
166,39
167,39
168,39
169,39
171,39
172,39
173,39
174,39
175,40
176,40
177,40
178,40
179,40
180,40
182,40
183,40
184,40
185,40
187,40
188,40
189,40
190,40
192,40
195,40
196,40
199,40
202,40
203,41
206,41
208,41
210,41
211,41
212,41
213,41
214,41
215,41
216,41
217,41
219,42
220,42
221,43
222,44
223,44
224,44
225,44
226,44
227,44
228,44
229,44
231,44
232,44
235,44
236,44
243,44
245,44
253,44
258,44
259,44
260,44
261,44
263,44
264,44
265,44
266,44
267,44
268,44
269,44
270,44
272,44
273,44
274,45
275,45
276,45
278,45
283,46
284,46
288,46
294,46
295,46
297,46
301,46
302,46
303,47
305,47
306,47
307,47
308,47
309,47
311,47
312,47
314,47
327,47
334,47
341,47
342,47
345,47
346,47
348,47
349,47
350,47
351,47
353,47
356,47
357,47
359,47
360,47
361,47
363,47
364,47
365,47
366,47
368,47
369,47
370,47
371,47
373,47
374,47
377,47
380,47
384,48
387,48
388,48
395,48
397,48
400,48
401,48
402,48
404,48
406,48
407,48
408,48
409,48
410,48
413,48
415,48
416,48
417,48
418,48
419,49
420,49
421,49
422,49
423,49
426,49
429,49
431,49
432,49
433,49
434,49
437,49
440,49
441,49
442,49
444,49
445,49
446,49
448,49
449,49
450,49
451,49
452,49
453,49
454,49
455,49
456,49
457,49
458,49
460,49
461,49
462,49
463,49
464,49
465,49
466,49
467,49
468,49
470,49
471,49
472,49
478,49
480,49
483,49
485,49
487,49
488,49
492,49
496,49
498,49
499,49
501,49
502,49
503,49
504,49
505,49
506,49
507,49
508,49
509,49
515,49
519,49
525,49
526,49
530,49
531,50
532,50
533,50
534,50
535,50
537,50
538,50
541,50
543,50
551,50
553,50
554,50
555,50
556,50
557,50
558,50
561,50
565,50
568,50
569,50
570,50
571,50
572,50
574,50
575,50
576,50
577,50
578,50
579,50
580,50
581,50
583,50
584,50
585,50
586,50
588,51
591,51
592,51
593,51
595,51
597,51
598,51
600,51
601,51
602,51
604,51
